A	'ə	 ə 
Foment	f u m 'e n	 f 'ɔ m 'e n 
Existeix	ə g z i s t 'ɛ ʃ	 ə g z i s t 'e ʃ 
Error	ə r 'o r	 ə r 'o 
Engega	ə n ʒ 'e ɣ ə	 ə n ʒ 'ɛ ɣ ə 
Deixa	d 'e ʃ ə	 d 'ɛ ʃ ə 
Clos	k l 'ɔ s	 k l 'o s 
Altre	'a l t ɾ ə	 ' a l t ɾ ə 
ítems	'i t ə m s	 'i t 'ɛ m s 
àngels	'a n ʒ ə l s	 'a n ʒ 'ɛ l s 
que	k 'ə	 k ə 
Us	'u s	 u s 
Que	k 'ə	 k ə 
La	l 'ə	 l ə 
En	'ə n	 ə n 
xopa	ʃ 'o p ə	 ʃ 'ɔ p ə 
xop	ʃ 'o p	 ʃ 'ɔ p 
xiïtes	ʃ i 'i t ə s	 ʃ 'i 'i t ə s 
xeics	ʃ 'ɛ j k s	 ʃ 'ɛ 'i k s 
xai	ʃ 'a j	 ʃ 'a i 
web	b 'e p	 b 'ɛ p 
vuitens	b u j t 'ɛ n s	 b u i t 'e n s 
vuitena	b u j t 'ɛ n ə	 b u i t 'ɛ n ə 
vudú	b u ð 'u	 b 'u ð 'u 
vodka	b 'o t k ə	 b 'ɔ ð k ə 
virrei	b i r 'e j	 b i r 'ɛ i 
vingueren	b i ŋ g 'e ɾ ə n	 b i ŋ g u 'ɛ ɾ ə n 
viatgers	b i ə d ʒ 'e s	 b i 'a d ʒ 'e s 
vetlli	b 'e ʎ ʎ i	 b 'ɛ ʎ ʎ i 
vetlles	b 'e ʎ ʎ ə s	 b 'ɛ ʎ ʎ ə s 
vesteix	b ə s t 'ɛ ʃ	 b ə s t 'e ʃ 
vespres	b 'e s p ɾ ə s	 b 'ɛ s p ɾ ə s 
verds	b 'ɛ r s	 b 'ɛ r t s 
verb	b 'ɛ r p	 b 'ɛ r 
vendre'ns	b 'ɛ n d ɾ ə n s	 b ə n d ɾ 'ɛ n s 
vendre'ls	b 'ɛ n d ɾ ə l s	 b ə n d ɾ 'ɛ l s 
venc	b 'ɛ ŋ	 b 'ɛ n s 
vehicle	b ə 'i k l ə	 b ə z 'i k l ə 
valoren	b ə l 'o ɾ ə n	 b ə l 'ɔ ɾ ə n 
valgut	b ə l ɣ 'u t	 b 'a l ɣ 'u t 
valentinenc	b ə l ə n t i n 'ɛ ŋ	 b ə l ə n t i n 'ɛ n s 
vagabund	b ə ɣ ə β 'u n	 b ə ɣ ə β 'u n d 
uniforme	u n i f 'o r m ə	 u n i f 'ɔ r m ə 
turment	t u r m 'e n	 t 'u r m 'e n 
tsars	t s 'a r s	 ə s 'a s 
tronxos	t ɾ 'o n ʃ u s	 t ɾ 'ɔ n ʃ u s 
trontolla	t ɾ u n t 'o ʎ ə	 t ɾ u n t 'ɔ ʎ ə 
tron	t ɾ 'ɔ n	 t ɾ 'o n 
tro	t ɾ 'ɔ	 t ɾ 'o 
tresors	t ɾ ə z 'ɔ r s	 t ɾ ə z 'o s 
trepitgés	t ɾ ə p i d ʒ 'e s	 t ɾ ə p 'i d ʒ 'e s 
trepig	t ɾ ə p 'i t ʃ	 t ɾ ə p 'i ɣ 
travessera	t ɾ ə β ə s 'e ɾ ə	 t ɾ 'a β ə s 'e ɾ ə 
travessem	t ɾ ə β ə s 'ɛ m	 t ɾ 'a β ə s 'ɛ m 
travessaves	t ɾ ə β ə s 'a β ə s	 t ɾ 'a β ə s 'a β ə s 
travessarem	t ɾ ə β ə s ə ɾ 'ɛ m	 t ɾ 'a β ə s ə ɾ 'ɛ m 
travessant	t ɾ ə β ə s 'a n	 t ɾ 'a β ə s 'a n 
trasplantessin	t ɾ ə s p l ə n t 'e s i n	 t ɾ ə s p l ə n t 'ɛ s i n 
transvasament	t ɾ ə n z β ə z ə m 'e n	 t ɾ ə n z β 'a z ə m 'e n 
transoceànic	t ɾ ə n z u s e 'a n i k	 t ɾ ə n s u ə e 'a n i k 
transmetent-me	t ɾ ə n z m ə t 'e m m ə	 t ɾ ə n z m ə t 'ɛ n d m ə 
transitava	t ɾ ə n z i t 'a β ə	 t ɾ ə n s i t 'a β ə 
transició	t ɾ ə n z i s i 'o	 t ɾ ə n s i s i 'o 
transcorre	t ɾ ə n s k 'o r ə	 t ɾ ə n s k 'ɔ r ə 
transcendència	t ɾ ə s ə n d 'ɛ n s i ə	 t ɾ ə n s ə n d 'ɛ n s i ə 
transcendentals	t ɾ ə s ə n d ə n t 'a l s	 t ɾ ə n s ə n d ə n t 'a l s 
transacció	t ɾ ə n z ə k s i 'o	 t ɾ ə n s ə k s i 'o 
tractament	t ɾ ə k t ə m 'e n	 t ɾ 'a k t ə m 'e n 
tova	t 'o β ə	 t 'ɔ β ə 
totxo	t 'o t ʃ u	 t 'ɔ t ʃ u 
totes	t 'o t ə s	 t 'ɔ t ə s 
tot	t 'o t	 t 'ɔ t 
tossut	t u s 'u t	 t 'ɔ s 'u t 
tossuda	t u s 'u ð ə	 t 'ɔ s 'u ð ə 
tortures	t u r t 'u ɾ ə s	 t 'ɔ r t 'u ɾ ə s 
tortuga	t u r t 'u ɣ ə	 t 'ɔ r t 'u ɣ ə 
torre	t 'o r ə	 t 'ɔ r ə 
torneig	t u r n 'ɛ t ʃ	 t u r n 'ɛ ʃ 
torero	t u ɾ 'e ɾ u	 t u ɾ 'ɛ ɾ u 
topen	t 'o p ə n	 t 'ɔ p ə n 
tomba	t 'o m b ə	 t 'ɔ m b ə 
tirar-se	t i ɾ 'a r s ə	 t i ɾ 'a s ə 
tirallongues	t i ɾ ə ʎ 'o ŋ g ə s	 t i ɾ ə ʎ 'ɔ ŋ g ə s 
tirallonga	t i ɾ ə ʎ 'o ŋ g ə	 t i ɾ ə ʎ 'ɔ ŋ g ə 
tinguent	t i ŋ g 'e n	 t i ŋ g w 'e n 
testos	t 'e s t u s	 t 'ɛ s t u s 
testa	t 'e s t ə	 t 'ɛ s t ə 
terraqüi	t ə r 'a k w i	 t ə r 'a k i 
tenor	t ə n 'o r	 t ə n 'o 
tempteig	t ə m t 'ɛ t ʃ	 t ə m p t 'ɛ ʃ 
tecnocientífic	t ə g n u s i ə n t 'i f i k	 t ə k n u s i ə n t 'i f i k 
tecleig	t ə k l 'ɛ t ʃ	 t ə k l 'ɛ ʃ 
te'm	t 'ə m	 t 'ɛ m 
te'l	t 'ə l	 t 'ɛ l 
tancament	t ə ŋ k ə m 'e n	 t 'a ŋ k ə m 'e n 
t'interessa	t i n t ə ɾ 'ɛ s ə	 t 'i n t ə ɾ 'e s ə 
t'hagis	t 'a ʒ i s	 t 'ɔ ʒ i s 
t'enyoro	t ə ɲ 'o ɾ u	 t ə ɲ 'ɔ ɾ u 
t'avisarem	t ə β i z ə ɾ 'ɛ m	 t 'a β i z ə ɾ 'ɛ m 
suprimeix	s u p ɾ i m 'ɛ ʃ	 s u p ɾ i m 'e ʃ 
successos	s u k s 'e s u s	 s u k s 'ɛ s u s 
substitueix	s u p s t i t u 'ɛ ʃ	 s u p s t i t u 'e ʃ 
subsisteix	s u p s i s t 'ɛ ʃ	 s u p s i s t 'e ʃ 
subministressin	s u b m i n i s t ɾ 'e s i n	 s u b m i n i s t ɾ 'ɛ s i n 
subhasta	s u β 'a s t ə	 s u β u 'a s t ə 
subgrup	s u b g ɾ 'u p	 s u β ɣ ɾ 'u p 
subgovernador	s u b g u β ə r n ə ð 'o	 s u b ɣ u β ə r n ə ð 'o 
sostinguda	s u s t i ŋ g 'u ð ə	 s u s t 'i ŋ g 'u ð ə 
sosteniment	s u s t ə n i m 'e n	 s u s t 'ɛ n i m 'e n 
sospesen	s u s p 'e z ə n	 s u s p 'ɛ z ə n 
sospesa	s u s p 'e z ə	 s u s p 'ɛ z ə 
sorrut	s u r 'u t	 s 'o r 'u t 
sorrencs	s u r 'ɛ ŋ s	 s u r 'ɛ ŋ k s 
sorprendrà	s u r p ə n d ɾ 'a	 s u r p ɾ ə n d ɾ 'a 
sorprendre	s u r p 'ɛ n d ɾ ə	 s u r p ɾ 'ɛ n d ɾ ə 
sorna	s 'o r n ə	 s 'ɔ r n ə 
sopes	s 'o p ə s	 s 'ɔ p ə s 
sopen	s 'o p ə n	 s 'ɔ p ə n 
sopa	s 'o p ə	 s 'ɔ p ə 
sonors	s u n 'o r s	 s u n 'o s 
sonor	s u n 'o r	 s u n 'o 
solemnitat	s u l ə m n i t 'a t	 s u l 'ɛ m n i t 'a t 
sofriment	s u f ɾ i m 'e n	 s 'ɔ f ɾ i m 'e n 
sobtada	s u p t 'a ð ə	 s u ə t 'a ð ə 
silvestres	s i l β 'e s t ɾ ə s	 s i l β 'ɛ s t ɾ ə s 
silencioses	s i l ə n s i 'o z ə s	 s i l ə n s i 'o s ə s 
serps	s 'e r p s	 s 'ɛ r p s 
serp	s 'e r p	 s 'ɛ r p 
serens	s ə ɾ 'ɛ n s	 s ə ɾ 'e n s 
ser-ho	s 'e ɾ u	 s 'ɛ ɾ u 
ser-hi	s 'e ɾ i	 s 'ɛ ɾ i 
sentis	s 'e n t i s	 s 'ɛ n t i s 
sentint-me	s ə n t 'i m m ə	 s ə n t 'i n d m ə 
senten	s 'e n t ə n	 s 'ɛ n t ə n 
sempre	s 'e m p ɾ ə	 s 'ɛ m p ɾ ə 
semblessin	s ə m b l 'e s i n	 s ə m b l 'ɛ s i n 
seitons	s ə j t 'o n s	 s ə i t 'o n s 
satisfets	s ə t i s f 'e t s	 s ə t i s f 'ɛ t s 
satisfet	s ə t i s f 'e t	 s ə t i s f 'ɛ t 
sapiens	s ə p i 'ɛ n s	 s ə p i 'e n s 
salpebra	s ə l p 'e β ɾ ə	 s ə l p 'ɛ β ɾ ə 
s'oposen	s u p 'o z ə n	 s u p 'ɔ z ə n 
s'obliden	s u β l 'i ð ə n	 s u p l 'i ð ə n 
s'inverteix	s i m b ə r t 'ɛ ʃ	 s i m b ə r t 'e ʃ 
s'interessa	s i n t ə ɾ 'ɛ s ə	 s i n t ə ɾ 'e s ə 
s'expandeix	s ə k s p ə n d 'ɛ ʃ	 s ə k s p ə n d 'e ʃ 
s'executen	s ə g z ə k 'u t ə n	 s ə k s ə k 'u t ə n 
s'esvaeix	s ə z β ə 'ɛ ʃ	 s ə z β ə 'e ʃ 
s'equivoquen	s ə k i β 'o k ə n	 s ə k i β 'ɔ k ə n 
s'empitjori	s ə m p i d ʒ 'o ɾ i	 s ə m p i d ʒ 'ɔ ɾ i 
s'assegurà	s ə s ə ɣ u ɾ 'a	 s ə s ə ɣ 'u ɾ 'a 
s'amaguessin	s ə m ə ɣ 'e s i n	 s ə m ə ɣ 'ɛ s i n 
s'alimenten	s ə l i m 'e n t ə n	 s ə l i m 'ɛ n t ə n 
s'aixequen	s ə ʃ 'e k ə n	 s ə ʃ 'ɛ k ə n 
s'adonen	s ə ð 'o n ə n	 s ə ð 'ɔ n ə n 
s'accedeix	s ə k s ə ð 'ɛ ʃ	 s ə k s ə ð 'e ʃ 
ruixar	r u ʃ 'a	 r u i ʃ 'a 
rugositat	r u ɣ u z i t 'a t	 r 'u ɣ u z i t 'a t 
rotonda	r u t 'o n d ə	 r u t 'ɔ n d ə 
rosses	r 'o s ə s	 r 'ɔ s ə s 
roses	r 'ɔ z ə s	 r 'o z ə s 
ronden	r 'o n d ə n	 r 'ɔ n d ə n 
ronca	r 'o ŋ k ə	 r 'ɔ ŋ k ə 
rodejant-ne	r u ð ə ʒ 'a n n ə	 r u ð ə ʒ 'a n d n ə 
rigor	r i ɣ 'o r	 r i ɣ 'o 
riallera	r i ə ʎ 'e ɾ ə	 r i 'a ʎ 'e ɾ ə 
revers	r ə β 'ɛ r s	 r ə β 'e s 
retrets	r ə t ɾ 'e t s	 r ə t ɾ 'ɛ t s 
retard	r ə t 'a r t	 r ə t 'a r 
resseguint	r ə s ə ɣ 'i n	 r ə s ə ɣ u 'i n 
ressegueix	r ə s ə ɣ 'ɛ ʃ	 r ə s ə ɣ 'e ʃ 
responc	r ə s p 'ɔ ŋ	 r ə s p 'o ŋ k 
responc	r ə s p 'ɔ ŋ	 r ə s p 'o ŋ k 
respecto	r ə s p 'e k t u	 r ə s p 'ɛ k t u 
respectessin	r ə s p ə k t 'e s i n	 r ə s p ə k t 'ɛ s i n 
resoldre'ls	r ə z 'ɔ l d ɾ ə l s	 r ə z u l d ɾ 'ɛ l s 
resen	r 'e z ə n	 r 'ɛ z ə n 
reptes	r 'e p t ə s	 r 'ɛ p t ə s 
reproduint-la	r ə p ɾ u ð u 'i n l ə	 r ə p ɾ u ð ɾ i n l ə 
repensar-nos-ho	r ə p ə n s 'a r n u z u	 r ə p ə n s ə r n 'ɔ z u 
reparteix	r ə p ə r t 'ɛ ʃ	 r ə p ə r t 'e ʃ 
renoven	r ə n 'o β ə n	 r ə n 'ɔ β ə n 
renecs	r ə n 'e k s	 r ə n 'ɛ k s 
rendiment	r ə n d i m 'e n	 r 'ɛ n d i m 'e n 
rendeix	r ə n d 'ɛ ʃ	 r ə n d 'e ʃ 
rencontre	r ə ŋ k 'o n t ɾ ə	 r ə ŋ k 'ɔ n t ɾ ə 
renaixentistes	r ə n ə ʃ ə n t 'i s t ə s	 r ə n 'a ʃ ə n t 'i s t ə s 
reintegrament	r ə i n t ə ɣ ɾ ə m 'e n	 r ə 'i n t 'ɛ ɣ ɾ ə m 'e n 
reiniciarà	r ə i n i s i ə ɾ 'a	 r ə i n i s i 'a ɾ 'a 
regne	r 'e g n ə	 r 'ɛ g n ə 
regla	r 'e g g l ə	 r 'ɛ ɣ l ə 
refredament	r ə f ɾ ə ð ə m 'e n	 r ə f ɾ 'ɛ ð ə m 'e n 
reflecteix	r ə f l ə k t 'ɛ ʃ	 r ə f l ə k t 'e ʃ 
redueix	r ə ð u 'ɛ ʃ	 r ə ð u 'e ʃ 
redimensioni	r ə ð i m ə n s i 'ɔ n i	 r ə ð i m ə n s i 'o n i 
redemptora	r ə ð ə m t 'o ɾ ə	 r ə ð ə m p t 'o ɾ ə 
recorren	r ə k 'o r ə n	 r ə k 'ɔ r ə n 
records	r ə k 'ɔ r s	 r ə k 'o r t s 
reconeixent-ne	r ə k u n ə ʃ 'e n n ə	 r ə k u n ə ʃ 'ɛ n d n ə 
reconduir-lo	r ə k u n d u 'i r l u	 r ə k u n d z i r l u 
recolzo	r ə k 'o l z u	 r ə k 'ɔ l z u 
recolzament	r ə k u l z ə m 'e n	 r ə k 'ɔ l z ə m 'e n 
recolza	r ə k 'o l z ə	 r ə k 'ɔ l z ə 
receptes	r ə s 'e p t ə s	 r ə s 'ɛ p t ə s 
recents	r ə s 'e n s	 r ə k 'e n s 
rec	r 'e k	 r 'ɛ k 
rebessin	r ə β 'e s i n	 r ə β 'ɛ s i n 
ratpenat	r ə t p ə n 'a t	 r 'a t p ə n 'a t 
rails	r 'a j l s	 r 'a 'i l s 
raigràs	r ə j ɣ ɾ 'a s	 r ə i ɣ ɾ 'a s 
quiosc	k i 'ɔ s k	 k i 'o s k 
quilowatt	k i l u β 'a t	 k 'i l u β 'a t t 
quieta	k i 'e t ə	 k i 'ɛ t ə 
quedin-se	k 'e ð i n s ə	 k ə ð 'i n s ə 
quedes	k 'e ð ə s	 k 'ɛ ð ə s 
quatrecents	k w ə t ɾ ə s 'e n s	 k w ə t ɾ ə k 'e n s 
pícnic	p 'i g n i k	 p 'i k n i k 
protegir-se	p ɾ u t ə ʒ 'i r s ə	 p ɾ u t ə ʒ 'i s ə 
promocionin	p ɾ u m u s i 'ɔ n i n	 p ɾ u m u s i 'o n i n 
prometre'm	p ɾ u m 'ɛ t ɾ ə m	 p ɾ u m ə t ɾ 'ɛ m 
pretenguin	p ɾ ə t 'e ŋ g i n	 p ɾ ə t 'ɛ ŋ g i n 
pretendre	p ɾ ə t 'e n d ɾ ə	 p ɾ ə t 'ɛ n d ɾ ə 
prestatgeria	p ɾ ə s t ə d ʒ ə ɾ 'i ə	 p ɾ ə s t 'a d ʒ ə ɾ 'i ə 
prest	p ɾ 'e s t	 p ɾ 'ɛ s t 
prescindeix	p ɾ ə s i n d 'ɛ ʃ	 p ɾ ə s i n d 'e ʃ 
preromàntics	p ɾ ə r u m 'a n t i k s	 p ɾ ə ɾ u m 'a n t i k s 
prerafaelites	p ɾ ə r ə f ə e l 'i t ə s	 p ɾ ə ɾ ə f ə ə l 'i t ə s 
prengueren	p ɾ ə ŋ g 'e ɾ ə n	 p ɾ ə ŋ g u 'ɛ ɾ ə n 
prenent-se	p ɾ ə n 'e n s ə	 p ɾ ə n 'ɛ n s ə 
premsa	p ɾ 'e m s ə	 p ɾ 'ɛ m s ə 
preguntem	p ɾ ə ɣ u n t 'ɛ m	 p ɾ ə ɣ 'u n t 'ɛ m 
precioses	p ɾ ə s i 'o z ə s	 p ɾ ə s i 'o s ə s 
posseeix	p u s ə 'ɛ ʃ	 p u s ə 'e ʃ 
posicioni	p u z i s i 'ɔ n i	 p u z i s i 'o n i 
posicionament	p u z i s i u n ə m 'e n	 p u z i s i 'ɔ n ə m 'e n 
poses	p 'ɔ z ə s	 p 'o z ə s 
posar-s'hi	p u z 'a r s i	 p u z 'a s i 
posar-nos-hi	p u z 'a r n u z i	 p u z ə r n 'ɔ z i 
posant-ne	p u z 'a n n ə	 p u z 'a n d n ə 
porta-me-les	p 'ɔ r t ə m ə l ə s	 p u r t ə m 'ɛ l ə s 
porro	p 'o r u	 p 'ɔ r u 
poprock	p u p ɾ 'ɔ k	 p u p ɾ 'o k k 
pont	p 'ɔ n	 p 'o n 
podent	p u ð 'ɛ n	 p u ð 'e n 
plurilingüisme	p l u ɾ i l i ŋ g w 'i z m ə	 p l u ɾ i l 'i ŋ g w 'i z m ə 
plumero	p l u m 'e ɾ u	 p l u m 'ɛ ɾ u 
plors	p l 'ɔ s	 p l 'o s 
plantejar-se	p l ə n t ə ʒ 'a r s ə	 p l ə n t ə ʒ 'a s ə 
planejament	p l ə n ə ʒ ə m 'e n	 p l ə n 'ɛ ʒ ə m 'e n 
piscines	p i s 'i n ə s	 p i s k 'i n ə s 
pintures	p i n t 'u ɾ ə s	 p 'i n t 'u ɾ ə s 
petitburgès	p ə t i d b u r ʒ 'ɛ s	 p ə t i t b u r ʒ 'ɛ s 
perquè	p ə r k 'ɛ	 p 'ɛ r k 'ɛ 
perpetren	p ə r p 'e t ɾ ə n	 p ə r p 'ɛ t ɾ ə n 
permetre'm	p ə r m 'ɛ t ɾ ə m	 p ə r m ə t ɾ 'ɛ m 
perfectes	p ə r f 'e k t ə s	 p ə r f 'ɛ k t ə s 
perfecta	p ə r f 'e k t ə	 p ə r f 'ɛ k t ə 
pentàgons	p ə n t 'a ɣ u n s	 p ə n t 'a ɣ 'o n s 
penjolls	p ə n ʒ 'ɔ ʎ s	 p ə n ʒ 'o ʎ s 
penjo	p 'e n ʒ u	 p 'ɛ n ʒ u 
penetren	p ə n 'e t ɾ ə n	 p ə n 'ɛ t ɾ ə n 
pega	p 'e ɣ ə	 p 'ɛ ɣ ə 
peculiar	p ə k u l i 'a r	 p ə k u l i 'a 
patrimoni	p ə t ɾ i m 'ɔ n i	 p ə t ɾ i m 'o n i 
parteix	p ə r t 'ɛ ʃ	 p ə r t 'e ʃ 
parpelleig	p ə r p ə ʎ 'ɛ t ʃ	 p ə r p ə ʎ 'ɛ ʃ 
paraigüet	p ə ɾ ə j ɣ w 'ɛ t	 p ə ɾ 'a j ə w 'ɛ t 
paixtus	p 'a ʃ t u s	 p 'a ʃ t 'u s 
paisatgisme	p ə j z ə d ʒ 'i z m ə	 p ə j z 'a d ʒ 'i z m ə 
ovelles	u β 'ɛ ʎ ə s	 u β 'e ʎ ə s 
orienten	u ɾ i 'e n t ə n	 u ɾ i 'ɛ n t ə n 
orella	u ɾ 'ɛ ʎ ə	 u ɾ 'e ʎ ə 
operen	u p 'e ɾ ə n	 u p 'ɛ ɾ ə n 
oncle	'o ŋ k l ə	 'ɔ ŋ k l ə 
oloro	u l 'o ɾ u	 u l 'ɔ ɾ u 
ofendre's	u f 'ɛ n d ɾ ə s	 u f ə n d ɾ 'ɛ s 
oest	u 'e s t	 u 'ɛ s t 
obtingudes	u p t i ŋ g 'u ð ə s	 u β t 'i ŋ g 'u ð ə s 
nuclear	n u k l e 'a r	 n u k l e 'a 
nomenament	n u m ə n ə m 'e n	 n u m 'ɛ n ə m 'e n 
nihilistes	n i i l 'i s t ə s	 n i 'a l 'i s t ə s 
nihilista	n i i l 'i s t ə	 n i 'a l 'i s t ə 
netegessin	n ə t ə ʒ 'e s i n	 n ə t ə ʒ 'ɛ s i n 
nedes	n 'e ð ə s	 n 'ɛ ð ə s 
neden	n 'e ð ə n	 n 'ɛ ð ə n 
neanderthalensis	n e ə n d ə r t ə l 'ɛ n s i s	 n e ə n d 'e t ə l 'ɛ n s i s 
naips	n 'a j p s	 n 'a 'i p s 
murmura	m u r m 'u ɾ ə	 m 'u r m 'u ɾ ə 
mosso	m 'o s u	 m 'ɔ s u 
mosca	m 'o s k ə	 m 'ɔ s k ə 
mosaic	m u z 'a j k	 m u z 'a i k 
morses	m 'o r s ə s	 m 'ɔ r s ə s 
morros	m 'o r u s	 m 'ɔ r u s 
mora	m 'ɔ ɾ ə	 m 'o ɾ ə 
mon	m 'u n	 m 'o n 
moll	m 'ɔ ʎ	 m 'o ʎ 
molestava	m u l ə s t 'a β ə	 m 'ɔ l ə s t 'a β ə 
molest	m u l 'e s t	 m u l 'ɛ s t 
millorin	m i ʎ 'o ɾ i n	 m i ʎ 'ɔ ɾ i n 
metros	m 'e t ɾ u s	 m 'ɛ t ɾ u s 
metgessa	m ə d ʒ 'ɛ s ə	 m ə d ʒ 'e s ə 
mesurament	m ə z u ɾ ə m 'e n	 m ə z 'u ɾ ə m 'e n 
menjar-se	m ə n ʒ 'a r s ə	 m ə n ʒ 'a s ə 
mengi	m 'e n ʒ i	 m 'ɛ n ʒ i 
megahertzos	m ə ɣ ə 'ɛ r d z u s	 m 'ɛ ɣ ə 'ɛ r d z u s 
marxessin	m ə r ʃ 'e s i n	 m ə r ʃ 'ɛ s i n 
marcint-me	m ə r s 'i m m ə	 m ə r s 'i n d m ə 
mantingut	m ə n t i ŋ g 'u t	 m ə n t 'i ŋ g 'u t 
mantinguda	m ə n t i ŋ g 'u ð ə	 m ə n t 'i ŋ g 'u ð ə 
manifesta	m ə n i f 'e s t ə	 m ə n i f 'ɛ s t ə 
maneig	m ə n 'ɛ t ʃ	 m ə n 'ɛ ʃ 
malsons	m ə l s 'ɔ n s	 m ə l s 'o n s 
ma	m 'ə	 m ə 
m'hagis	m 'a ʒ i s	 m i 'a ʒ i s 
m'emborratxava	m ə m b u r ə t ʃ 'a β ə	 m ə m b u r 'a t ʃ 'a β ə 
m'avorreix	m ə β u r 'ɛ ʃ	 m ə β u r 'e ʃ 
lluirà	ʎ u i ɾ 'a	 ʎ u j ɾ 'a 
lloses	ʎ 'ɔ z ə s	 ʎ 'o z ə s 
lletrejar	ʎ ə t ɾ ə ʒ 'a	 ʎ 'ɛ t ɾ ə ʒ 'a 
llesta	ʎ 'e s t ə	 ʎ 'ɛ s t ə 
lleopards	ʎ ə u p 'a r s	 ʎ ə u p 'a ɾ i s 
llenya	ʎ 'e ɲ ə	 ʎ 'ɛ ɲ ə 
llengüetes	ʎ ə ŋ g w 'ɛ t ə s	 ʎ 'e ŋ g w 'ɛ t ə s 
llengües	ʎ 'e ŋ g w ə s	 ʎ 'ɛ ŋ g w ə s 
llegendes	ʎ ə ʒ 'e n d ə s	 ʎ ə ʒ 'ɛ n d ə s 
litosfera	l i t u s f 'e ɾ ə	 l 'i t u s f 'e ɾ ə 
lepra	l 'e p ɾ ə	 l 'ɛ p ɾ ə 
lamento	l ə m 'e n t u	 l ə m 'ɛ n t u 
labor	l ə β 'o r	 l ə β 'o 
l'àguila	l 'a ɣ i l ə	 l 'a ɣ u i l ə 
l'ortodòxia	l u r t u ð 'ɔ k s i ə	 l 'ɔ r t u ð 'ɔ k s i ə 
l'interessava	l i n t ə ɾ ə s 'a β ə	 l 'i n t ə ɾ ə s 'a β ə 
l'interessa	l i n t ə ɾ 'ɛ s ə	 l 'i n t ə ɾ 'e s ə 
l'exigència	l ə g z i ʒ 'ɛ n s i ə	 l ə k s i ʒ 'ɛ n s i ə 
l'excés	l ə k s 'e s	 l ə k s s 'e s 
l'exaltació	l ə g z ə l t ə s i 'o	 l ə k s ə l t ə s i 'o 
l'estudiés	l ə s t u ð i 'e s	 l ə s t u ð 'i 'e s 
l'estructura	l ə s t ɾ u k t 'u ɾ ə	 l ə s t ɾ 'u k t 'u ɾ ə 
l'espurneig	l ə s p u r n 'ɛ t ʃ	 l ə s p u r n 'ɛ ʃ 
l'esguerro	l ə z ɣ 'ɛ r u	 l ə z ɣ u 'ɛ r u 
l'enigmística	l ə n i g m 'i s t i k ə	 l ə n 'i g m 'i s t i k ə 
l'engoleix	l ə ŋ g u l 'ɛ ʃ	 l ə ŋ g u l 'e ʃ 
l'aïllaven	l ə i ʎ 'a β ə n	 l ə 'i ʎ 'a β ə n 
l'avorreix	l ə β u r 'ɛ ʃ	 l ə β u r 'e ʃ 
l'ascens	l ə s 'ɛ n s	 l ə s k 'e n s 
l'arriet	l ə r i 'ɛ t	 l ə r 'i 'ɛ t 
l'argelaga	l ə r ʒ ə l 'a ɣ ə	 l 'a r ʒ ə l 'a ɣ ə 
l'algebraic	l ə l ʒ ə β ɾ 'a j k	 l 'a l ʒ ə β ɾ 'a i k 
l'aguait	l ə ɣ w 'a j t	 l ə ɣ w 'a 'i t 
l'adolescència	l ə ð u l ə s 'ɛ n s i ə	 l ə ð 'o l ə s 'ɛ n s i ə 
l'adequada	l ə ð ə k w 'a ð ə	 l 'a ð ə k 'a ð ə 
l'Univers	l u n i β 'ɛ r s	 l u n i β 'e s 
l'Umbert	l u m b 'ɛ r t	 l 'u m b 'ɛ r t 
l'Espai	l ə s p 'a j	 l ə s p 'a i 
l'Antoni	l ə n t 'ɔ n i	 l ə n t 'o n i 
kuwaitians	k u β ə j t i 'a n s	 k u β ə i t i 'a n s 
kafkiana	k ə f k i 'a n ə	 k ə f i i 'a n ə 
jurament	ʒ u ɾ ə m 'e n	 ʒ 'u ɾ ə m 'e n 
jueva	ʒ u 'e β ə	 ʒ u 'ɛ β ə 
jamaicans	ʒ ə m ə j k 'a n s	 ʒ ə m ə i k 'a n s 
israelià	i z r ə e l i 'a	 i z r ə ə l i 'a 
intèrpret	i n t 'ɛ r p ɾ ə t	 i n t 'ɛ r p ɾ 'ɛ t 
intrínsecs	i n t ɾ 'i n s ə k s	 i n t ɾ 'i n s 'ɛ k s 
introduir-lo	i n t ɾ u ð u 'i r l u	 i n t ɾ u ð ɾ i r l u 
introdueix	i n t ɾ u ð u 'ɛ ʃ	 i n t ɾ u ð u 'e ʃ 
interrompre	i n t ə r 'o m p ɾ ə	 i n t ə r 'ɔ m p ɾ ə 
interrogant-los	i n t ə r u ɣ 'a n l u s	 i n t ə r u ɣ 'a n l 'ɔ s 
intangible	i n t ə n ʒ 'i b b l ə	 i n t 'a n ʒ 'i b b l ə 
insisteix	i n s i s t 'ɛ ʃ	 i n s i s t 'e ʃ 
insatisfets	i n s ə t i s f 'e t s	 i n s 'a t i s f 'ɛ t s 
insatisfeta	i n s ə t i s f 'e t ə	 i n s 'a t i s f 'ɛ t ə 
insatisfacció	i n s ə t i s f ə k s i 'o	 i n s 'a t i s f ə k s i 'o 
inquietud	i ŋ k i ə t 'u t	 i ŋ k 'i ə t 'u t 
inquiets	i ŋ k i 'e t s	 i ŋ k i 'ɛ t s 
ingresses	i ŋ g ɾ 'e s ə s	 i ŋ g ɾ 'ɛ s ə s 
