A	'ə	ə
vistaire	v i s t 'a j ɾ ə	v i s t 'a i ɾ ə
viuda	v 'i w ð ə	v i 'u ð ə
voivoda	v o j v 'o ð ə	v o i v 'o ð ə
voler	v o l 'ə	v o l 'e
volumètric	v o l u m 'e t ɾ i k	v o l u m 'ə t ɾ i k
voto	v 'o t o	v 'o t o
vuitada	v u j t 'a ð ə	v u i t 'a ð ə
vuitanta	v u j t 'a n t ə	v u i t 'a n t ə
wiki	b 'i k i	ə 'i k i
wòlof	b 'o l o f	o 'o l o f
xai	ʃ 'a j	ʃ 'a i
Xangai	ʃ ə ŋ g 'a j	ʃ ə ŋ g 'a i
xangainès	ʃ ə ŋ g ə j n 'ə s	ʃ ə ŋ g ə i n 'ə s
xeic	ʃ 'e j k	ʃ 'ə j k
xíndria	ʃ 'i n d ɾ i ə	ʃ i n d ɾ 'i ə
xistorra	ʃ i s t 'o r ə	ʃ i s t 'o r ə
xiular	ʃ i w l 'a	ʃ i u l 'a
xiulet	ʃ i w l 'ə t	ʃ i u l 'ə t
xou	ʃ 'o w	ʃ 'o
xous	ʃ 'o w s	ʃ o 'u s
Xúquer	ʃ 'u k ə	ʃ u k 'e 
zebra	z 'e β ɾ ə	z 'ə β ɾ ə
zeugma	z 'e w m m ə	z 'e u m m ə
zirconi	z i ɾ k 'o n i	z i ɾ k 'o n i
de	d 'ə	d ə
que	k 'ə	k ə
la	l 'ə	l ə
i	'i	i
a	'ə	ə
el	'ə l	ə l
en	'ə n	ə n
les	l 'ə s	l ə s
els	'ə l s	'e l s
del	d 'ə l	d ə l
amb	'ə m	 e m b
al	'ə l	'a l
es	'ə s	ə s
com	k 'o m	k 'o m
El	'ə l	ə l
dels	d 'ə l s	d 'e l s
hi	'i	i
La	l 'ə	l ə
o	'o	'o
si	s 'i	s i
em	'ə m	ə m
li	l 'i	l i
tot	t 'o t	t 'o t
seva	s 'e v ə	s 'ə v ə
ens	'ə n s	'e n s
Els	ə l s	'e l s
A	'ə	ə
als	ə l s	'a l s
sobre	s 'o β ɾ ə	s 'o β ɾ ə
En	'ə n	ə n
Si	s 'i	s i
sense	s 'e n s ə	s 'ə n s ə
ho	'o	o
res	r 'e s	r 'ə s
De	d 'ə	d ə
pel	p 'ə l	p 'e l
tots	t 'o t s	t 'o t s
meva	m 'e v ə	m 'ə v ə
sempre	s 'e m p ɾ ə	s 'ə m p ɾ ə
I	'i	i
he	'e	'a
hem	'ə m	'e m
cosa	k 'o z ə	k 'o z ə
seves	s 'e v ə s	s 'ə v ə s
se	s 'ə	s ə
Les	l 'ə s	l ə s
sistema	s i s t 'e m ə	s i s t 'ə m ə
Em	'ə m	ə m
tota	t 'o t ə	t 'o t ə
et	'ə t	ə t
Es	'ə s	ə s
mai	m 'a j	m 'a i
poder	p o ð 'ə	p o ð 'e
Al	'ə l	'a l
hores	'o ɾ ə s	ə ɾ ə s
totes	t 'o t ə s	t 'o t ə s
coses	k 'o z ə s	k 'o z ə s
Hi	'i	i
Com	k 'o m	k 'o m
dona	d 'o n ə	d 'o n ə
haver	ə v 'ə	ə v 'e
tenen	t 'e n ə n	t 'ə n ə n
Li	l 'i	l i
Amb	'ə m	 e m b
nens	n 'ə n s	n 'e n s
sota	s 'o t ə	s 'o t ə
ben	b 'e n	b 'ə n
pels	p 'ə l s	p 'e l s
molts	m 'o l s	m 'o l t s
contra	k 'o n t ɾ ə	k 'o n t ɾ ə
saber	s ə β 'ə	s ə β 'e
mig	m 'i tʃ	m 'i k
cotxe	k 'o tʃ o	k 'o tʃ ə
Ho	'o	o
moltes	m 'o l t ə s	m 'o l t ə s
mateixa	m ə t 'e ʃ ə	m ə t 'ə ʃ ə
eren	'e ɾ ə n	'e ɾ ə n
mes	m 'e s	m 'ə s
Queden	k 'e ð ə n	k 'ə ð ə n
forma	f 'o ɾ m ə	f 'o ɾ m ə
fora	f 'o ɾ ə	f 'o ɾ ə
home	'o m o	'o m ə
ve	v 'e	v 'ə
trenta	t ɾ 'ə n t ə	t ɾ 'e n t ə
sento	s 'e n t o	s 'e n t o
gaire	g 'a j ɾ ə	g 'a i ɾ ə
He	'e	'a
hora	'o ɾ ə	ə ɾ ə
problemes	p ɾ o β l 'e m ə s	p ɾ o β l 'ə m ə s
Tot	t 'o t	t 'o t
darrere	d ə r 'e ɾ ə	d ə r 'e ɾ ə
teva	t 'e v ə	t 'ə v ə
tretze	t ɾ 'e d z ə	t ɾ 'ə d z ə
tema	t 'e m ə	t 'ə m ə
molta	m 'o l t ə	m 'o l t ə
dotze	d 'o d z ə	d 'o d z ə
dones	d 'o n ə s	d 'o n ə s
queda	k 'e ð ə	k 'ə ð ə
noi	n 'o j	n 'o i
Ens	'ə n s	'e n s
llengua	ʎ 'e ŋ g w ə	ʎ 'ə ŋ g w ə
segle	s 'e g g l ə	s 'e ɣ l ə
Tots	t 'o t s	t 'o t s
hagut	ə ɣ 'u t	a ɣ 'u t
Que	k 'ə	k ə
jove	ʒ 'o v ə	ʒ 'o v ə
catorze	k ə t 'o ɾ z ə	k ə t 'o ɾ z ə
joves	ʒ 'o v ə s	ʒ 'o v ə s
Sempre	s 'e m p ɾ ə	s 'ə m p ɾ ə
meves	m 'e v ə s	m 'ə v ə s
telèfon	t ə l 'e f o n	t ə l 'ə f o n
llarg	ʎ 'a ɾ k	ʎ 'a ɾ ə
boca	b 'o k ə	b 'o k ə
temes	t 'e m ə s	t 'ə m ə s
tecla	t 'e k l ə	t 'e k l ə
homes	'o m ə s	ə m ə s
centres	s 'e n t ɾ ə s	s 'ə n t ɾ ə s
Lleida	ʎ 'e j ð ə	ʎ 'ə j ð ə
tens	t 'ə n s	t 'e n s
trens	t ɾ 'ə n s	t ɾ 'e n s
fes	f 'e s	f 'ə s
vuitanta	v u j t 'a n t ə	v u i t 'a n t ə
torna	t 'o ɾ n ə	t 'o ɾ n ə
queden	k 'e ð ə n	k 'ə ð ə n
peixos	p 'e ʃ o s	p 'ə ʃ o s
haig	'a tʃ	a 'i ə
foto	f 'o t o	f 'o t o
Pere	p 'e ɾ ə	p 'e ɾ ə
O	'o	'o
etcètera	ə t s 'e t ə ɾ ə	ə t s 'ə t ə ɾ ə
dòlars	d 'o l ə s	d o l 'a s
conte	k 'o n t ə	k 'o n t ə
me'n	m ə n	m 'ə n
bossa	b 'o s ə	b 'o s ə
Hem	'ə m	'e m
pedra	p 'e ð ɾ ə	p 'ə ð ɾ ə
paisatge	p ə j z 'a dʒ ə	p ə i z 'a dʒ ə
nois	n 'o j s	n 'o i s
mètode	m 'e t o ð ə	m 'ə t o ð ə
gens	ʒ 'ə n s	g 'e n s
formes	f 'o ɾ m ə s	f 'o ɾ m ə s
espai	ə s p 'a j	ə s p 'a i
cotxes	k 'o tʃ ə s	k 'o tʃ ə s
compra	k 'o m p ɾ ə	k 'o m p ɾ ə
Montse	m 'o n s ə	m 'o n t s ə
me	m 'ə	m ə
mateixos	m ə t 'e ʃ o s	m ə t 'ə ʃ o s
gossos	g 'o s o s	g 'o s o s
Pel	p 'ə l	p 'e l
Et	'ə t	ə t
últims	'u l t i n s	u l t 'i n s
volen	v 'o l ə n	v 'o l ə n
plens	p l 'ə n s	p l 'e n s
dimecres	d i m 'e k ɾ ə s	d i m 'e k ɾ ə s
deixen	d 'e ʃ ə n	d 'ə ʃ ə n
Sense	s 'e n s ə	s 'ə n s ə
veuen	v 'ə w ə n	v 'e w ə n
processos	p ɾ o s 'e s o s	p ɾ o s 'ə s o s
problema	p ɾ o β l 'e m ə	p ɾ o β l 'ə m ə
pedres	p 'e ð ɾ ə s	p 'ə ð ɾ ə s
guerra	g 'e r ə	g w 'e r ə
desig	d ə z 'i tʃ	d ə z 'i ə
fosca	f 'o s k ə	f 'o s k ə
fer-ho	f 'e ɾ o	f 'e ɾ o
entendre	ə n t 'e n d ɾ ə	ə n t 'ə n d ɾ ə
dolça	d 'o l s ə	d 'o l s ə
Vielha	v i 'e l ə	v i ə l 'a
Mai	m 'a j	m 'a i
ves	v 'e s	v 'ə s
torno	t 'o ɾ n o	t 'o ɾ n o
sistemes	s i s t 'e m ə s	s i s t 'ə m ə s
reals	r e 'a l s	r ə 'a l s
metges	m 'e dʒ ə s	m 'ə dʒ ə s
formen	f 'o ɾ m ə n	f 'o ɾ m ə n
València	v ə l 'e n s i ə	v ə l 'ə n s i ə
i	'i	i
vespre	v 'e s p ɾ ə	v 'ə s p ɾ ə
sabent	s ə β 'e n t	s ə β 'e n t
reforma	r ə f 'o ɾ m ə	r ə f 'o ɾ m ə
quedo	k 'e ð o	k 'ə ð o
néixer	n 'e ʃ ə	n ə ʃ 'e 
meitat	m ə j t 'a t	m ə i t 'a t
gaires	g 'a j ɾ ə s	g 'a i ɾ ə s
equips	ə k 'i t s	ə k 'i s
doble	d 'o b b l ə	d 'o b b l ə
disposen	d i s p 'o z ə n	d i s p 'o z ə n
consciència	k o n t s i 'e n s i ə	k o n s i 'e n s i ə
conscient	k o n t s i 'e n t	k o n s i 'e n t
Moltes	m 'o l t ə s	m 'o l t ə s
Als	'ə l s	'a l s
ésser	'e s ə	e s 'e 
època	'e p o k ə	'ə p o k ə
A	'ə	ə
voler	v o l 'ə	v o l 'e
espais	ə s p 'a j s	ə s p 'a i s
bombes	b 'o m b ə s	b 'o m b ə s
Soc	s 'o k	s 'o k
èpoques	'e p o k ə s	'ə p o k ə s
transports	t ɾ ə n s p 'o ɾ s	t ɾ ə n s p 'o ɾ s
teves	t 'e v ə s	t 'ə v ə s
presenten	p ɾ ə z 'e n t ə n	p ɾ ə z 'e n t ə n
ordre	'o ɾ ð ɾ ə	'o ɾ ð ɾ ə
fotos	f 'o t o s	f 'o t o s
deixo	d 'e ʃ o	d 'ə ʃ o
capsa	k 'a t s ə	k 'a s ə
Sento	s 'e n t o	s 'e n t o
Conca	k 'o ŋ k ə	k 'o ŋ k ə
sentin	s 'e n t i n	s 'e n t i n
segles	s 'e g g l ə s	s 'e ɣ l ə s
representen	r ə p ɾ ə z 'e n t ə n	r ə p ɾ ə z 'e n t ə n
regles	r 'e g g l ə s	r 'e ɣ l ə s
pèl	p 'ə l	p 'e l
provoca	p ɾ o v 'o k ə	p ɾ o v 'o k ə
premsa	p ɾ 'e n s ə	p ɾ 'ə m z ə
metge	m 'e dʒ ə	m 'ə dʒ ə
lluitar	ʎ u j t 'a	ʎ u i t 'a
immens	i m m 'ə n s	i m m 'e n s
guia	g 'i ə	g w 'i ə
espècie	ə s p 'ə s i ə	ə s p 'e s i ə
enorme	ə n 'o ɾ m ə	ə n 'o ɾ m ə
elfs	'e l t s	'e l i s
créixer	k ɾ 'e ʃ ə	k ɾ ə ʃ 'e 
atendre	ə t 'e n d ɾ ə	ə t 'ə n d ɾ ə
Totes	t 'o t ə s	t 'o t ə s
Boi	b 'o j	b 'o i
Com	k 'o m	k 'o m
vendes	v 'ə n d ə s	v 'e n d ə s
ull	'u j	'u ʎ
tornes	t 'o ɾ n ə s	t 'o ɾ n ə s
telèfons	t ə l 'e f o n s	t ə l 'ə f o n s
pèls	p 'ə l s	p 'e l s
mots	m 'o t s	m 'o t s
moto	m 'o t o	m 'o t o
mot	m 'o t	m 'o t
m'hi	m i	m 'i
llest	ʎ 'e s t	ʎ 'ə s t
llengües	ʎ 'e ŋ g w ə s	ʎ 'ə ŋ g w ə s
enmig	ə m m 'i tʃ	ə n m 'i k
creador	k ɾ e ə ð 'o	k ɾ ə ə ð 'o
contes	k 'o n t ə s	k 'o n t ə s
Tremp	t ɾ 'e m p	t ɾ 'ə m p
Pesa	p 'e z ə	p 'ə z ə
Molts	m 'o l s	m 'o l t s
Jesús	ʒ ə z 'u s	ʒ ə s 'u s
Fes	f 'e s	f 'ə s
éssers	'e s ə s	e s 'e s
èxits	'e t s i t s	ʃ i t s
En	'ə n	ə n
realitzen	r e ə l 'i d z ə n	r ə ə l 'i d z ə n
raig	r 'a tʃ	r ə 'i ə
plataforma	p l ə t ə f 'o ɾ m ə	p l ə t ə f 'o ɾ m ə
peatges	p e 'a dʒ ə s	p ə 'a dʒ ə s
morts	m 'o ɾ s	m 'o ɾ t s
menja	m 'e n ʒ ə	m 'ə n ʒ ə
mateixes	m ə t 'e ʃ ə s	m ə t 'ə ʃ ə s
intento	i n t 'e n t o	i n t 'e n t o
intenten	i n t 'e n t ə n	i n t 'e n t ə n
fruits	f ɾ 'u j t s	f ɾ u 'i t s
entren	'e n t ɾ ə n	'ə n t ɾ ə n
enormes	ə n 'o ɾ m ə s	ə n 'o ɾ m ə s
currículum	k u r 'i k u l u m	k u r i k u l 'u m
creat	k ɾ e 'a t	k ɾ ə 'a t
corre	k 'o r ə	k 'o r ə
copes	k 'o p ə s	k 'o p ə s
caigui	k 'a j ɣ i	k 'a i ɣ i
alcohol	ə l k o 'o l	ə l k o 'a l
Torna	t 'o ɾ n ə	t 'o ɾ n ə
Eren	'e ɾ ə n	'e ɾ ə n
Antoni	ə n t 'o n i	ə n t 'o n i
èxit	'e t s i t	ʃ i t
tornen	t 'o ɾ n ə n	t 'o ɾ n ə n
situats	s i t u 'a t s	s i t u 'a s
sisè	s i z 'ə	s i s 'ə
poesia	p o ə z 'i ə	p o ə s 'i ə
plàncton	p l 'a ŋ t t o n	p l ə n s t 'o n
neboda	n ə β 'o ð ə	n ə β 'o ð ə
lo	l 'o	l o
llop	ʎ 'o p	ʎ 'o p
llagosta	ʎ ə ɣ 'o s t ə	ʎ ə ɣ 'o s t ə
jersei	ʒ ə ɾ s 'ə j	ʒ ə ɾ s 'ə i
intens	i n t 'ə n s	i n t 'e n s
herois	ə ɾ 'o j s	ə ɾ 'o i s
guies	g 'i ə s	g w 'i ə s
gotes	g 'o t ə s	g 'o t ə s
gota	g 'o t ə	g 'o t ə
glop	g l 'o p	g l 'o p
fosques	f 'o s k ə s	f 'o s k ə s
fetge	f 'e dʒ ə	f 'ə dʒ ə
esports	ə s p 'o ɾ s	ə s p 'o ɾ s
esmorteïts	ə z m o ɾ t ə 'i t s	ə z m o ɾ t ə 'i s
endarrere	ə n d ə r 'e ɾ ə	ə n d ə r 'e ɾ ə
encendre	ə n s 'e n d ɾ ə	ə n s 'ə n d ɾ ə
donen	d 'o n ə n	d 'o n ə n
distingir	d i s t i n ʒ 'i	d i s t i ŋ g 'i
dimonis	d i m 'o n i s	d i m 'o n i s
deuen	d 'ə w ə n	d 'e w ə n
descens	d ə t s 'ə n s	d ə t s 'e n s
corbes	k 'o ɾ β ə s	k 'o ɾ β ə s
compro	k 'o m p ɾ o	k 'o m p ɾ o
argument	ə ɾ ɣ u m 'e n t	a ɾ ɣ u m 'e n t
aliment	ə l i m 'e n t	a l i m 'e n t
Seguint	s ə ɣ 'i n t	s ə ɣ u 'i n t
Res	r 'e s	r 'ə s
Londres	l 'o n d ɾ ə s	l 'o n d ɾ ə s
Intento	i n t 'e n t o	i n t 'e n t o
Huelva	u 'e l v ə	ə 'e l v ə
Horts	'o ɾ s	ə ɾ s
Deixo	d 'e ʃ o	d 'ə ʃ o
o	'o	'o
testimonis	t ə s t i m 'o n i s	t ə s t i m 'o n i s
te	t 'ə	t ə
sencera	s ə n s 'ə ɾ ə	s ə n s 'e ɾ ə
seguint	s ə ɣ 'i n t	s ə ɣ u 'i n t
retrobo	r ə t ɾ 'o β o	r ə t ɾ 'o β o
parer	p ə ɾ 'ə	p ə ɾ 'e
menjo	m 'e n ʒ o	m 'ə n ʒ o
mantenen	m ə n t 'e n ə n	m ə n t 'ə n ə n
lleixa	ʎ 'e ʃ ə	ʎ 'ə ʃ ə
goig	g 'o tʃ	g o 'i ə
foscos	f 'o s k o s	f 'o s k o s
forts	f 'o ɾ s	f 'o ɾ s
foren	f 'o ɾ ə n	f 'o ɾ ə n
estrangers	ə s t ɾ ə n ʒ 'e s	ə s t ɾ ə ŋ g 'e s
espècies	ə s p 'ə s i ə s	ə s p 'e s i ə s
esperen	ə s p 'e ɾ ə n	ə s p 'e ɾ ə n
empleats	ə m p l e 'a t s	ə m p l ə 'a s
dimoni	d i m 'o n i	d i m 'o n i
corren	k 'o r ə n	k 'o r ə n
comparseros	k o m p ə ɾ s 'e ɾ o s	k o m p ə ɾ s 'e ɾ o s
celebra	s ə l 'e β ɾ ə	s ə l 'ə β ɾ ə
bàsquet	b 'a s k ə t	b ə s k 'ə t
bàndols	b 'a n d o l s	b ə n d 'o l s
bars	b 'a s	b 'a ɾ s
assignat	ə s i n n 'a t	ə s i ə n 'a t
Volen	v 'o l ə n	v 'o l ə n
Tens	t 'ə n s	t 'e n s
Sota	s 'o t ə	s 'o t ə
Pontevedra	p o n t ə v 'e ð ɾ ə	p o n t ə v 'ə ð ɾ ə
Pels	p 'ə l s	p 'e l s
Menjo	m 'e n ʒ o	m 'ə n ʒ o
Home	'o m o	'o m ə
volent	v o l 'e n t	v o l 'e n t
transforma	t ɾ ə n s f 'o ɾ m ə	t ɾ ə n s f 'o ɾ m ə
tonto	t 'o n t o	t 'o n t o
testimoni	t ə s t i m 'o n i	t ə s t i m 'o n i
tecles	t 'e k l ə s	t 'e k l ə s
subproductes	s u p p ɾ o ð 'u t t ə s	s u β p ɾ o ð 'u t t ə s
sopars	s o p 'a s	s o p 'a ɾ s
sofre	s 'o f ɾ ə	s 'o f ɾ ə
sistema	s i s t 'e m ə	s i s t 'ə m ə
signar	s i n n 'a	s i ə n 'a
sencer	s ə n s 'ə	s ə n s 'e
ronda	r 'o n d ə	r 'o n d ə
ressona	r ə s 'o n ə	r ə s 'o n ə
rere	r 'e ɾ ə	r 'e ɾ ə
reformes	r ə f 'o ɾ m ə s	r ə f 'o ɾ m ə s
recorre	r ə k 'o r ə	r ə k 'o r ə
realitza	r e ə l 'i d z ə	r ə ə l 'i d z ə
pàrquing	p 'a ɾ k i ŋ k	p ə ɾ k 'i ŋ k
presses	p ɾ 'e s ə s	p ɾ 'ə s ə s
presento	p ɾ ə z 'e n t o	p ɾ ə z 'e n t o
preciosa	p ɾ ə s i 'o z ə	p ɾ ə s i 'o s ə
ports	p 'o ɾ s	p 'o ɾ s
penja	p 'e n ʒ ə	p 'ə n ʒ ə
pengen	p 'e n ʒ ə n	p 'e n ʒ ə n
ordres	'o ɾ ð ɾ ə s	'o ɾ ð ɾ ə s
omple	'o m p l ə	'o m p l ə
ombres	'o m b ɾ ə s	'o m b ɾ ə s
oliosos	o l i 'o z o s	o l i 'o s o s
mengen	m 'e n ʒ ə n	m 'e n ʒ ə n
megues	m 'ə ɣ ə s	m 'e ɣ ə s
matrimoni	m ə t ɾ i m 'o n i	m ə t ɾ i m 'o n i
luxe	l 'u t s ə	l 'u ʃ ə
lluitava	ʎ u j t 'a v ə	ʎ u i t 'a v ə
lletja	ʎ 'e dʒ ə	ʎ 'ə dʒ ə
lleig	ʎ 'e tʃ	ʎ ə 'i ə
kafkianes	k ə f k i 'a n ə s	k ə f i i 'a n ə s
irreal	i r e 'a l	i r ə e 'a l
ideals	i ð e 'a l s	i ð ə 'a l s
grecs	g ɾ 'e t s	g ɾ 'e t s
grec	g ɾ 'e k	g ɾ 'e k
gratuïts	g ɾ ə t u 'i t s	g ɾ ə t u 'i s
grandiosa	g ɾ ə n d i 'o z ə	g ɾ ə n d i 'o s ə
golfes	g 'o l f ə s	g 'o l f ə s
gespa	ʒ 'e s p ə	ʒ 'ə s p ə
gasoil	g ə z 'o j l	g ə z o 'i l
fotre	f 'o t ɾ ə	f 'o t ɾ ə
fem-ho	f 'e m o	f 'ə m o
espongiformes	ə s p o n ʒ i f 'o ɾ m ə s	ə s p o n ʒ i f 'o ɾ m ə s
esmorzen	ə z m 'o ɾ z ə n	ə z m 'o ɾ z ə n
escolta	ə s k 'o l t ə	ə s k 'o l t ə
escletxa	ə s k l 'e tʃ ə	ə s k l 'ə tʃ ə
empremtes	ə m p ɾ 'e n t ə s	ə m p ɾ 'e n t ə s
elèctrics	ə l 'e t t ɾ i t s	ə l ə t t ɾ 'i t s
dècada	d 'e k ə ð ə	d ə k 'a ð ə
dotant-les	d o t 'a n l ə s	d o t 'a n t  l ə s
difondre	d i f 'o n d ɾ ə	d i f 'o n d ɾ ə
creixen	k ɾ 'e ʃ ə n	k ɾ 'ə ʃ ə n
conscients	k o n t s i 'e n s	k o n s i 'e n s
conca	k 'o ŋ k ə	k 'o ŋ k ə
comte	k 'o n t ə	k 'o n t ə
compren	k 'o m p ɾ ə n	k 'o m p ɾ ə n
comenten	k o m 'e n t ə n	k o m 'e n t ə n
colze	k 'o l z ə	k 'o l z ə
ceptre	s 'e t t ɾ ə	s 'e t t ɾ ə
cegues	s 'ə ɣ ə s	s 'e ɣ ə s
bots	b 'o t s	b 'o t s
bosses	b 'o s ə s	b 'o s ə s
borsa	b 'o ɾ s ə	b 'o ɾ s ə
borda	b 'o ɾ ð ə	b 'o ɾ ð ə
aliens	ə l i 'ə n s	ə l i 'e n s
aleatoris	ə l e ə t 'o ɾ i s	ə l ə ə t 'o ɾ i s
aimara	ə j m 'a ɾ ə	ə i m 'a ɾ ə
agafant-me	ə ɣ ə f 'a m m ə	ə ɣ ə f 'a n t m ə
accepto	ə t s 'e t t o	ə t s 'e t t o
Torre	t 'o r ə	t 'o r ə
Tornes	t 'o ɾ n ə s	t 'o ɾ n ə s
Tenen	t 'e n ə n	t 'ə n ə n
Sabent	s ə β 'e n t	s ə β 'e n t
Ribagorça	r i β ə ɣ 'o ɾ s ə	r i β ə ɣ 'o ɾ s ə
Regne	r 'e n n ə	r 'ə n n ə
Perdoni	p ə ɾ ð 'o n i	p ə ɾ ð 'o n i
Mig	m 'i tʃ	m 'i k
Me	m 'ə	m ə
Kuwait	k u β 'a j t	k u β 'a i t
Guia	g 'i ə	g w 'i ə
Guerra	g 'e r ə	g w 'e r ə
Formes	f 'o ɾ m ə s	f 'o ɾ m ə s
Escolta	ə s k 'o l t ə	ə s k 'o l t ə
Entro	'e n t ɾ o	'ə n t ɾ o
Eivissa	ə j v 'i s ə	ə i v 'i s ə
Dones	d 'o n ə s	d 'o n ə s
Dimecres	d i m 'e k ɾ ə s	d i m 'e k ɾ ə s
Del	d 'ə l	d ə l
Consciència	k o n t s i 'e n s i ə	k o n s i 'e n s i ə
Celoni	s ə l 'o n i	s ə l 'o n i
Volen	v 'o l ə n	v 'o l ə n
Hi	'i	i
De	d 'ə	d ə
xops	ʃ 'o t s	ʃ 'o t s
vinguessis	v i ŋ g 'e s i s	v i ŋ g 'ə s i s
sentint-se	s ə n t 'i n s ə	s ə n t 'i n t s ə
sens	s 'ə n s	s 'e n s
seguien	s ə ɣ 'i ə n	s ə ɣ u 'i ə n
retorna	r ə t 'o ɾ n ə	r ə t 'o ɾ n ə
relacioni	r ə l ə s i 'o n i	r ə l ə s i 'o n i
reiterada	r ə i t ə ɾ 'a ð ə	r ə j t ə ɾ 'a ð ə
pop	p 'o p	p 'o p
ombra	'o m b ɾ ə	'o m b ɾ ə
oi	'o j	'o i
nèctar	n 'e t t ə	n ə t t 'a
nerviosisme	n ə ɾ v i o z 'i z m ə	n ə ɾ v i o s 'i z m ə
morro	m 'o r o	m 'o r o
mirant-lo	m i ɾ 'a n l o	m i ɾ 'a n i l o
luxes	l 'u t s ə s	l 'u ʃ ə s
lleixes	ʎ 'e ʃ ə s	ʎ 'ə ʃ ə s
irrompre	i r 'o m p ɾ ə	i r 'o m p ɾ ə
indústria	i n d 'u s t ɾ i ə	i n d u s t ɾ 'i ə
franctirador	f ɾ ə ŋ t t i ɾ ə ð 'o	f ɾ ə n s t i ɾ ə ð 'o
fongs	f 'o ŋ s	f 'o n s
fonda	f 'o n d ə	f 'o n d ə
fleca	f l 'e k ə	f l 'ə k ə
feble	f 'e b b l ə	f 'e b b l ə
estratègies	ə s t ɾ ə t 'ə ʒ i ə s	ə s t ɾ ə t 'e ʒ i ə s
estranger	ə s t ɾ ə n ʒ 'e	ə s t ɾ ə ŋ g 'e
esglésies	ə z ɣ l 'e z i ə s	ə z ɣ l ə z 'i ə s
distendre	d i s t 'e n d ɾ ə	d i s t 'ə n d ɾ ə
desmai	d ə z m 'a j	d ə z m 'a i
cuidar	k u j ð 'a	k u i ð 'a
creuen	k ɾ 'ə w ə n	k ɾ 'e w ə n
corro	k 'o r o	k 'o r o
copa	k 'o p ə	k 'o p ə
concentren	k o n s 'e n t ɾ ə n	k o n s 'ə n t ɾ ə n
compres	k 'o m p ɾ ə s	k 'o m p ɾ ə s
arruinats	ə r u j n 'a t s	ə r u i n 'a t s
alineats	ə l i n e 'a t s	ə l i n ə 'a s
afronta	ə f ɾ 'o n t ə	ə f ɾ 'o n t ə
Tota	t 'o t ə	t 'o t ə
Sistema	s i s t 'e m ə	s i s t 'ə m ə
Ronda	r 'o n d ə	r 'o n d ə
Queda	k 'e ð ə	k 'ə ð ə
Ginebra	ʒ i n 'e β ɾ ə	ʒ i n 'ə β ɾ ə
ètniques	'e n n i k ə s	'ə n n i k ə s
ètnica	'e n n i k ə	'ə n n i k ə
ètnic	'e n n i k	'ə n n i k
àngels	'a n ʒ ə l s	a n ʒ 'e l s
que	k 'ə	k ə
Que	k 'ə	k ə
La	l 'ə	l ə
En	'ə n	ə n
xopa	ʃ 'o p ə	ʃ 'o p ə
xop	ʃ 'o p	ʃ 'o p
xai	ʃ 'a j	ʃ 'a i
whiskys	b 'i s k i s	ə 'i s j n s
vuitens	v u j t 'ə n s	v u i t 'e n s
vuitena	v u j t 'ə n ə	v u i t 'ə n ə
virtuoses	v i ɾ t u 'o z ə s	v i ɾ t u 'o s ə s
vingueren	v i ŋ g 'e ɾ ə n	v i ŋ g 'e ɾ ə n
vespres	v 'e s p ɾ ə s	v 'ə s p ɾ ə s
valoren	v ə l 'o ɾ ə n	v ə l 'o ɾ ə n
uniforme	u n i f 'o ɾ m ə	u n i f 'o ɾ m ə
tsars	t s 'a s	ə z 'a s
tronxos	t ɾ 'o n ʃ o s	t ɾ 'o n ʃ o s
treuen	t ɾ 'ə w ə n	t ɾ 'e w ə n
trepitgés	t ɾ ə p i dʒ 'e s	t ɾ ə p i tʃ 'e s
trepig	t ɾ ə p 'i tʃ	t ɾ ə p 'i ə
transmetent-me	t ɾ ə n z m ə t 'e m m ə	t ɾ ə n z m ə t 'e n t m ə
transcorre	t ɾ ə n s k 'o r ə	t ɾ ə n s k 'o r ə
tova	t 'o v ə	t 'o v ə
totxo	t 'o tʃ o	t 'o tʃ o
totes	t 'o t ə s	t 'o t ə s
tot	t 'o t	t 'o t
torre	t 'o r ə	t 'o r ə
torero	t o ɾ 'e ɾ o	t o ɾ 'e ɾ o
torba	t 'o ɾ β ə	t 'o ɾ β ə
topen	t 'o p ə n	t 'o p ə n
tomba	t 'o m b ə	t 'o m b ə
tinguent	t i ŋ g 'e n t	t i ŋ g w 'e n t
terrenys	t ə r 'ə j n s	t ə r 'ə n i s
terraqüi	t ə r 'a k w i	t ə r 'a i i
tenyint-lo	t ə ɲ 'i n l o	t ə ɲ 'i n t  l o
tediosa	t ə ð i 'o z ə	t ə ð i 'o s ə
te'm	t ə m	t 'ə m
te'l	t ə l	t 'e l
tangents	t ə n ʒ 'e n s	t ə ŋ g 'e n s
súpers	s 'u p ə s	s u p 'e s
succeïts	s u t s ə 'i t s	s u t s ə 'i s
successos	s u t s 'e s o s	s u t s 'ə s o s
subsidi	s u t s 'i ð i	s u ə s 'i ð i
sospesen	s o s p 'e z ə n	s o s p 'ə z ə n
sorna	s 'o ɾ n ə	s 'o ɾ n ə
sopes	s 'o p ə s	s 'o p ə s
sopen	s 'o p ə n	s 'o p ə n
sopa	s 'o p ə	s 'o p ə
sobressin	s o β ɾ 'ə s i n	s o β ɾ 'e s i n
silencioses	s i l ə n s i 'o z ə s	s i l ə n s i 'o s ə s
silenciosa	s i l ə n s i 'o z ə	s i l ə n s i 'o s ə
