A	'ə	ə
tenyint-lo	t ə ɲ 'i n l o	t ə ɲ 'i n t  l o
tediosa	t ə ð i 'o z ə	t ə ð i 'o s ə
te'm	t ə m	t 'ə m
te'l	t ə l	t 'e l
tangents	t ə n ʒ 'e n s	t ə ŋ g 'e n s
súpers	s 'u p ə s	s u p 'e s
succeïts	s u t s ə 'i t s	s u t s ə 'i s
successos	s u t s 'e s o s	s u t s 'ə s o s
subsidi	s u t s 'i ð i	s u ə s 'i ð i
sospesen	s o s p 'e z ə n	s o s p 'ə z ə n
sobressin	s o β ɾ 'ə s i n	s o β ɾ 'e s i n
silencioses	s i l ə n s i 'o z ə s	s i l ə n s i 'o s ə s
silenciosa	s i l ə n s i 'o z ə	s i l ə n s i 'o s ə
signat	s i n n 'a t	s i ə n 'a t
serens	s ə ɾ 'ə n s	s ə ɾ 'e n s
sequaços	s ə k w 'a s o s	s ə k 'a s o s
sentint-me	s ə n t 'i m m ə	s ə n t 'i n t m ə
sempre	s 'e m p ɾ ə	s 'ə m p ɾ ə
seitons	s ə j t 'o n s	s ə i t 'o n s
sapiens	s ə p i 'ə n s	s ə p i 'e n s
salpebra	s ə l p 'e β ɾ ə	s ə l p 'ə β ɾ ə
rètols	r 'e t o l s	r 'ə t o l s
rètol	r 'e t o l	r 'ə t o l
rodejant-ne	r o ð ə ʒ 'a n n ə	r o ð ə ʒ 'a n n n ə
resseguint	r ə s ə ɣ 'i n t	r ə s ə ɣ u 'i n t
resen	r 'e z ə n	r 'ə z ə n
res	r 'e s	r 'ə s
reproduint-la	r ə p ɾ o ð u 'i n l ə	r ə p ɾ o ð i i n l l ə
renecs	r ə n 'e t s	r ə n 'ə t s
religioses	r ə l i ʒ i 'o z ə s	r ə l i ʒ i 'o s ə s
regne	r 'e n n ə	r 'ə n n ə
regla	r 'e g g l ə	r 'ə g g l ə
reconeixent-ne	r ə k o n ə ʃ 'e n n ə	r ə k o n ə ʃ 'e n n n ə
realitzo	r e ə l 'i d z o	r ə ə l 'i d z o
realisme	r e ə l 'i z m ə	r ə ə l 'i z m ə
reafirmin	r e ə f 'i ɾ m i n	r ə ə f 'i ɾ m i n
rails	r 'a j l s	r 'a i l s
quedes	k 'e ð ə s	k 'ə ð ə s
preveuen	p ɾ ə v 'ə w ə n	p ɾ ə v 'e w ə n
pretendre	p ɾ ə t 'e n d ɾ ə	p ɾ ə t 'ə n d ɾ ə
preromàntics	p ɾ ə r o m 'a n t i t s	p ɾ ə ɾ o m 'a n t i t s
premsa	p ɾ 'e n s ə	p ɾ 'ə m z ə
precursors	p ɾ ə k u ɾ s 'o s	p ɾ ə k u s 'o s
preciosos	p ɾ ə s i 'o z o s	p ɾ ə s i 'o s o s
precioses	p ɾ ə s i 'o z ə s	p ɾ ə s i 'o s ə s
posés	p o z 'e s	p o s 'e s
posant-ne	p o z 'a n n ə	p o z 'a n n n ə
porta-me-les	p 'o ɾ t ə m ə l ə s	p o ɾ t ə m 'e l ə s
plecs	p l 'e t s	p l 'ə t s
planctòniques	p l ə ŋ t t 'o n i k ə s	p l ə n s t 'o n i k ə s
pertenences	p ə ɾ t ə n 'e n s ə s	p ə ɾ t ə n 'ə n s ə s
perpetren	p ə ɾ p 'e t ɾ ə n	p ə ɾ p 'ə t ɾ ə n
permeables	p ə ɾ m e 'a b b l ə s	p ə ɾ ə e 'a b b l ə s
perdre-la	p 'e ɾ ð ɾ ə l ə	p ə ɾ ð ɾ 'e l ə
perdonant-li	p ə ɾ ð o n 'a n l i	p ə ɾ ð o n 'a n i l i
penetren	p ə n 'e t ɾ ə n	p ə n 'ə t ɾ ə n
oasi	o 'a z i	o 'a s i
nedes	n 'e ð ə s	n 'ə ð ə s
neden	n 'e ð ə n	n 'ə ð ə n
neanderthalensis	n e ə n d ə ɾ t ə l 'e n s i s	n ə ə n d ə ɾ t 'a l 'ə n s i s
naips	n 'a j t s	n 'a i t s
mítings	m 'i t i ŋ s	m 'i t i n s
mosaic	m o z 'a j k	m o z 'a i k
molècules	m o l 'ə k u l ə s	m o l 'e k u l ə s
migcampistes	m i k k ə m p 'i s t ə s	m i ŋ k ə m p 'i s t ə s
metros	m 'e t ɾ o s	m 'ə t ɾ o s
marihuana	m ə ɾ i u 'a n ə	m ə ɾ i ə 'a n ə
maltractaments	m ə l t ɾ ə t t ə m 'e n s	m ə l t ɾ ə t t ə m 'e n t s
ma	m 'ə	m ə
líder	l 'i ð ə	l 'i ð e 
lèxics	l 'e t s i t s	l 'ə t s i t s
lluirà	ʎ u i ɾ 'a	ʎ u j ɾ 'a
llesta	ʎ 'e s t ə	ʎ 'ə s t ə
llenya	ʎ 'e ɲ ə	ʎ 'ə ɲ ə
llengües	ʎ 'e ŋ g w ə s	ʎ 'ə ŋ g w ə s
llenci	ʎ 'e n s i	ʎ 'ə n s i
lepra	l 'e p ɾ ə	l 'ə p ɾ ə
kafkiana	k ə f k i 'a n ə	k ə f i i 'a n ə
jueva	ʒ u 'e v ə	ʒ u 'ə v ə
jamaicans	ʒ ə m ə j k 'a n s	ʒ ə m ə i k 'a n s
intèrpret	i n t 'e ɾ p ɾ ə t	i n t ə ɾ p ɾ 'ə t
interrogant-los	i n t ə r o ɣ 'a n l o s	i n t ə r o ɣ 'a n i l o s
interpretant-la	i n t ə ɾ p ɾ ə t 'a n l ə	i n t ə ɾ p ɾ ə t 'a n t  l ə
ingresses	i ŋ g ɾ 'e s ə s	i ŋ g ɾ 'ə s ə s
impermeables	i m p ə ɾ m e 'a b b l ə s	i m p ə ɾ ə e 'a b b l ə s
ideat	i ð e 'a t	i ð ə 'a t
híbrid	'i β ɾ i t	ə β ɾ i t
horts	'o ɾ s	ə ɾ s
hora	'o ɾ ə	ə ɾ ə
harmonioses	ə ɾ m o n i 'o z ə s	ə ɾ m o n i 'o s ə s
haguessis	ə ɣ 'e s i s	ə ɣ 'ə s i s
habituats	ə β i t u 'a t s	ə β i t u 'a s
gènere	ʒ 'e n ə ɾ ə	ʒ 'ə n ə ɾ ə
guinda	g 'i n d ə	g w 'i n d ə
guetos	g 'e t o s	g 'ə t o s
guard	g w 'a ɾ t	g w 'a ɾ ə
guanyant-me	g w ə ɲ 'a m m ə	g w ə ɲ 'a n m m ə
guacamais	g w ə k ə m 'a j s	g w ə k ə m 'a i s
glòbuls	g l 'o β u l s	g l o β 'u l s
gemecs	ʒ ə m 'e t s	ʒ ə m 'ə t s
frens	f ɾ 'ə n s	f ɾ 'e n s
fotre-li	f 'o t ɾ ə l i	f o t ɾ 'e l i
florint-se	f l o ɾ 'i n s ə	f l o ɾ 'i n t s ə
fletxes	f l 'e tʃ ə s	f l 'ə tʃ ə s
fletxa	f l 'e tʃ ə	f l 'ə tʃ ə
fetus	f 'e t u s	f 'ə t u s
fent-lo	f 'e n l o	f 'e n t  l o
fen	f 'e n	f 'ə n
feixos	f 'e ʃ o s	f 'ə ʃ o s
estómac	ə s t 'o m ə k	ə s t o m 'a k
estudiïn	ə s t u ð 'i i n	ə s t u ð i 'i n
estris	'e s t ɾ i s	'ə s t ɾ i s
estrenyent-me	ə s t ɾ ə ɲ 'e m m ə	ə s t ɾ ə ɲ 'ə n m m ə
estimant-la	ə s t i m 'a n l ə	ə s t i m 'a n t l ə
esment	ə z m 'e n t	e z m 'e n t
esgrogueint-se	ə z ɣ ɾ o ɣ ə 'i n s ə	ə z ɣ ɾ o ɣ u z 'i n t s ə
esglai	ə z ɣ l 'a j	ə z ə l 'a i
esgarrifoses	ə z ɣ ə r i f 'o z ə s	ə z ɣ ə r i f 'o s ə s
escrivint-te	ə s k ɾ i v 'i n t ə	ə s k ɾ i v 'i n t t ə
esclafant-les	ə s k l ə f 'a n l ə s	ə s k l ə f 'a n t  l ə s
escaigui	ə s k 'a j ɣ i	ə s k 'a i ɣ i
ensenyi	ə n s 'e ɲ i	ə n s 'ə ɲ i
endreço	ə n d ɾ 'e s o	ə n d ɾ 'ə s o
encabeixi	ə ŋ k ə β 'e ʃ i	ə ŋ k ə β 'ə ʃ i
empentes	ə m p 'ə n t ə s	ə m p 'e n t ə s
empenta	ə m p 'ə n t ə	ə m p 'e n t ə
emborratxant-me	ə m b o r ə tʃ 'a m m ə	ə m b o r ə tʃ 'a n m m ə
embolicant-se	ə m b o l i k 'a n s ə	ə m b o l i k 'a n t s ə
elèctrica	ə l 'ə t t ɾ i k ə	ə l ə t t ɾ 'i k ə
dòlar	d 'o l ə	d o l 'a
dèficits	d 'e f i s i t s	d ə f i s 'i t s
donant-nos	d o n 'a n n o s	d o n 'a n n n o s
donant-los	d o n 'a n l o s	d o n 'a n i l o s
donant-li	d o n 'a n l i	d o n 'a n i l i
dodecàedres	d o ð ə k 'a ə ð ɾ ə s	d o ð ə t s ə ð ɾ ə s
divuitè	d i v u j t 'ə	d i v u i t 'ə
divuitena	d i v u j t 'ə n ə	d i v u i t 'ə n ə
distribuïts	d i s t ɾ i β u 'i t s	d i s t ɾ i β u 'i s
distreuen	d i s t ɾ 'ə w ə n	d i s t ɾ 'e w ə n
distingint	d i s t i n ʒ 'i n t	d i s t i ŋ g 'i n t
disminuïts	d i z m i n u 'i t s	d i z m i n u 'i s
discrepo	d i s k ɾ 'e p o	d i s k ɾ 'ə p o
discjòqueis	d i s k ʒ 'o k ə j s	d i s k ʒ o k 'ə j s
dibuixant-me	d i β u ʃ 'a m m ə	d i β u ʃ 'a n m m ə
desplegant-se	d ə s p l ə ɣ 'a n s ə	d ə s p l ə ɣ 'a n t s ə
deslluïts	d ə z ʎ u 'i t s	d ə z ʎ u 'i s
desitgem	d ə z i dʒ 'ə m	d ə z i tʃ 'ə m
desigs	d ə z 'i tʃ s	d ə z 'i n s
designar	d ə z i n n 'a	d ə z i ə n 'a
deltaic	d ə l t 'a j k	d ə l t 'a i k
delinqüents	d ə l i ŋ k w 'e n s	d ə l i n ə w 'e n s
deixes	d 'e ʃ ə s	d 'ə ʃ ə s
decibels	d ə s i β 'e l s	d ə s i β 'ə l s
cònjuge	k 'o n ʒ u ʒ ə	k o n ʒ 'u ʒ ə
còmplices	k 'o m p l i s ə s	k o m p l 'i s ə s
cuinera	k u j n 'e ɾ ə	k u i n 'e ɾ ə
cuinar	k u j n 'a	k u i n 'a
cuidava	k u j ð 'a v ə	k u i ð 'a v ə
cuidant	k u j ð 'a n t	k u i ð 'a n t
creïn	k ɾ 'e i n	k ɾ ə 'i n
crepitegen	k ɾ ə p i t 'e ʒ ə n	k ɾ ə p i t 'ə ʒ ə n
cremes	k ɾ 'e m ə s	k ɾ 'ə m ə s
cremen	k ɾ 'e m ə n	k ɾ 'ə m ə n
crema	k ɾ 'e m ə	k ɾ 'ə m ə
contenen	k o n t 'e n ə n	k o n t 'ə n ə n
contemplant-li	k o n t ə m p l 'a n l i	k o n t ə m p l ə n 'o l i
construïts	k o n s t ɾ u 'i t s	k o n s t ɾ u 'i s
conseqüents	k o n s ə k w 'e n s	k o n s ə ə w 'e n s
conseqüent	k o n s ə k w 'e n t	k o n s ə ə w 'e n t
comtats	k o n t 'a t s	k o ə t 'a t s
completa-la	k o m p l 'ə t ə l ə	k o m p l ə t 'a l ə
complauen	k o m p l 'a w ə n	k o m p l 'a ə n
comences	k o m 'e n s ə s	k o m 'ə n s ə s
colpeja	k o l p 'e ʒ ə	k o l p 'ə ʒ ə
coloraines	k o l o ɾ 'a j n ə s	k o l o ɾ 'a i n ə s
cofoi	k o f 'o j	k o f 'o i
clavant-li	k l ə v 'a n l i	k l ə v ə n 'e l i
centígrads	s ə n t 'i ɣ ɾ ə t s	s ə n t i ɣ ɾ 'a t s
celebren	s ə l 'e β ɾ ə n	s ə l 'ə β ɾ ə n
casés	k ə z 'e s	k ə s 'e s
castigant-se	k ə s t i ɣ 'a n s ə	k ə s t i ɣ 'a n t s ə
cars	k 'a s	k 'a ɾ s
carai	k ə ɾ 'a j	k ə ɾ 'a i
caracteritzant-lo	k ə ɾ ə t t ə ɾ i d z 'a n l o	k ə ɾ ə t t ə ɾ i d z 'a n i l o
capmàs	k ə m m 'a s	k ə p m 'a s
capbussar	k ə b b u s 'a	k ə p β u s 'a
bàdminton	b 'a m m i n t o n	b ə m m i n t 'o n
buidor	b u j ð 'o	b u i ð 'o
boirina	b o j ɾ 'i n ə	b o i ɾ 'i n ə
bodegues	b o ð 'ə ɣ ə s	b o ð 'e ɣ ə s
beuen	b 'ə w ə n	b 'e w ə n
bes	b 'e s	b 'ə s
beneficiosa	b ə n ə f i s i 'o z ə	b ə n ə f i s i 'o s ə
beatífic	b e ə t 'i f i k	b ə ə t 'i f i k
beata	b e 'a t ə	ə e 'a t ə
basés	b ə z 'e s	b ə s 'e s
barbs	b 'a ɾ t s	b 'a ɾ i s
atribuir-ho	ə t ɾ i β u 'i ɾ o	ə t ɾ i β u i ɾ 'o
assignar	ə s i n n 'a	ə s i ə n 'a
assaigs	ə s 'a tʃ s	ə s ə 'i ə s
assaborint-ne	ə s ə β o ɾ 'i n n ə	ə s ə β o ɾ 'i n n n ə
asimètrica	ə s i m 'e t ɾ i k ə	ə z i m 'e t ɾ i k ə
arrossegant-se	ə r o s ə ɣ 'a n s ə	ə r o s ə ɣ 'a n t s ə
arregla	ə r 'e g g l ə	ə r 'ə g g l ə
apartant-lo	ə p ə ɾ t 'a n l o	ə p ə ɾ t 'a n i l o
anorèxica	ə n o ɾ 'e t s i k ə	ə n o ɾ 'ə t s i k ə
anorèxia	ə n o ɾ 'e t s i ə	ə n o ɾ 'ə t s i ə
anhelant-la	ə n ə l 'a n l ə	ə n ə l 'a n t  l ə
angoixa	ə ŋ g 'o ʃ ə	ə ŋ g o 'i ʃ ə
amagant-li	ə m ə ɣ 'a n l i	ə m ə ɣ 'a n i l i
alts	'a l s	'a l t s
alinear	ə l i n e 'a	ə l i n ə 'a
algebraic	ə l ʒ ə β ɾ 'a j k	ə l ʒ ə β ɾ 'a i k
alegre	ə l 'e ɣ ɾ ə	ə l 'ə ɣ ɾ ə
ajudant-la	ə ʒ u ð 'a n l ə	ə ʒ u ð 'a n i l ə
agraïts	ə ɣ ɾ ə 'i t s	ə ɣ ɾ ə 'i s
afruitat	ə f ɾ u j t 'a t	ə f ɾ u i t 'a t
adscrit	ə s k ɾ 'i t	ə t s k ɾ 'i t
aconseguint	ə k o n s ə ɣ 'i n t	ə k o n s ə ɣ u 'i n t
acceptant-la	ə t s ə t t 'a n l ə	ə t s ə t t 'a n t  l ə
a	'ə	ə
Zürich	z u ɾ 'i k	ə w ɾ 'i k ə
Weissmann	b ə j s m 'a n n	b ə i s m 'a n n
Webs	b 'e t s	b 'ə t s
Venus	v 'e n u s	v 'ə n u s
Ve	v 'e	v 'ə
Unesco	u n 'e s k o	u n 'ə s k o
Ulldemol	u ʎ d ə m 'o l	u ʎ ð ə m 'o l
Tema	t 'e m ə	t 'ə m ə
Te	t 'ə	t ə
Taipei	t ə j p 'ə j	t ə i p 'ə j
Tailàndia	t ə j l 'a n d i ə	t ə i l 'a n d i ə
Suècia	s u 'e s i ə	s u t s i ə
Sistemes	s i s t 'e m ə s	s i s t 'ə m ə s
Sistema	s i s t 'e m ə	s i s t 'ə m ə
Realisme	r e ə l 'i z m ə	r ə ə l 'i z m ə
Quedo	k 'e ð o	k 'ə ð o
Pingu	p 'i ŋ g u	p 'i ŋ g w
Pakistan	p ə k i s t 'a n	p ə z i s t 'a n
Pablo	p 'a β l o	p 'a b b l o
Nois	n 'o j s	n 'o i s
Mètode	m 'e t o ð ə	m 'ə t o ð ə
Munich	m u n 'i k	m u n 'i k ə
Mossegant-se	m o s ə ɣ 'a n s ə	m o s ə ɣ 'a n t s ə
Montseny	m o n s 'ə ɲ	m o n t s 'ə ɲ
Menja	m 'e n ʒ ə	m 'ə n ʒ ə
Martens	m ə ɾ t 'ə n s	m ə ɾ t 'e n s
Légolas	l 'e ɣ o l ə s	l ə ɣ o l 'a s
Lèxic	l 'e t s i k	l 'ə t s i k
Lo	l 'o	l o
Lluch	ʎ 'u k	ʎ 'u k ə
Llevo	ʎ 'e v o	ʎ 'ə v o
Leandre	l e 'a n d ɾ ə	ə e 'a n d ɾ ə
Kirsten	k 'i ɾ s t ə n	k 'i s t ə n
Hug	'u k	'a k
Horta	'o ɾ t ə	ə ɾ t ə
Haig	'a tʃ	a 'i ə
Günther	g w n t 'e	g u n ə 'e
Gènere	ʒ 'e n ə ɾ ə	ʒ 'ə n ə ɾ ə
Guies	g 'i ə s	g w 'i ə s
Floraina	f l o ɾ 'a j n ə	f l o ɾ 'a i n ə
Fent-ho	f 'e n t o	f ə n t 'o
Entren	'e n t ɾ ə n	'ə n t ɾ ə n
Elisenda	ə l i z 'e n d ə	ə l i s 'e n d ə
Ebre	'e β ɾ ə	'ə β ɾ ə
Ebre	'e β ɾ ə	'ə β ɾ ə
EAJA	e 'a ʒ ə	ə 'a ʒ ə
Distingir	d i s t i n ʒ 'i	d i s t i ŋ g 'i
Detroit	d ə t ɾ 'o j t	d ə t ɾ o 'i t
Creui	k ɾ 'e w i	k ɾ 'e i
Creador	k ɾ e ə ð 'o	k ɾ ə ə ð 'o
Copia-la	k o p 'i ə l ə	k o p i 'a l ə
Comences	k o m 'e n s ə s	k o m 'ə n s ə s
Chirac	tʃ i ɾ 'a k	k i ɾ 'a k
Caterina	k ə t ə ɾ 'i n ə	 k e t ə ɾ 'i n ə
Bohigas	b o 'i ɣ ə s	b o 'a ɣ ə s
Bangkok	b ə ŋ k k 'o k	b ə ŋ g k 'o k
Ai	'a j	'a i
el	'ə l	ə l
amb	'ə m	 e m b
oi	'o j	'o i
es	'ə s	ə s
el	'ə l	ə l
a	'ə	ə
Si	s 'i	s i
Li	l 'i	l i
I	'i	i
Ho	'o	o
He	'e	'a
Et	'ə t	ə t
que	k 'ə	k ə
hi	'i	i
guerra	g 'e r ə	g w 'e r ə
Si	s 'i	s i
Queda	k 'e ð ə	k 'ə ð ə
I	'i	i
He	'e	'a
Amb	'ə m	 e m b
xilens	ʃ i l 'ə n s	ʃ i l 'e n s
venda	v 'ə n d ə	v 'e n d ə
ultimàtum	u l t i m 'a t u m	u l t i m ə t 'u m
túnels	t 'u n ə l s	t u n 'e l s
treva	t ɾ 'e v ə	t ɾ 'ə v ə
terrissaires	t ə r i s 'a j ɾ ə s	t ə r i s 'a i ɾ ə s
temple	t 'e m p l ə	t 'ə m p l ə
símbols	s 'i m b o l s	s i m b 'o l s
sys	s 'i s	s s
suspens	s u s p 'ə n s	s u s p 'e n s
surrealisme	s u r e ə l 'i z m ə	s u r ə ə l 'i z m ə
sexi	s 'e t s i	s 'ə t s i
segles	s 'e g g l ə s	s 'e ɣ l ə s
ruixats	r u ʃ 'a t s	r i ʃ 'a t s
repugnant	r ə p u n n 'a n t	r ə p u ə n 'a n t
rebérem	r ə β 'e ɾ ə m	r ə β ə ɾ 'ə m
pàrquings	p 'a ɾ k i ŋ s	p 'a ɾ k i n s
proveïts	p ɾ o v ə 'i t s	p ɾ o v ə 'i s
promig	p ɾ o m 'i tʃ	p ɾ o m 'i k
promig	p ɾ o m 'i tʃ	p ɾ o m 'i k
progressos	p ɾ o ɣ ɾ 'e s o s	p ɾ o ɣ ɾ 'ə s o s
procreat	p ɾ o k ɾ e 'a t	p ɾ o k ɾ ə 'a t
pretenen	p ɾ ə t 'e n ə n	p ɾ ə t 'ə n ə n
preat	p ɾ e 'a t	p ɾ ə 'a t
pircings	p i ɾ s 'i ŋ s	p i ɾ s 'i n ə s
picant-li	p i k 'a n l i	p i k 'a n t  l i
pertinences	p ə ɾ t i n 'e n s ə s	p ə ɾ t i n 'ə n s ə s
peatons	p e ə t 'o n s	p ə ə t 'o n s
peatge	p e 'a dʒ ə	p ə 'a dʒ ə
ofèn	o f 'ə n	o f 'e n
obligant-la	o β l i ɣ 'a n l ə	o β l i ɣ 'a n i l ə
nervioses	n ə ɾ v i 'o z ə s	n ə ɾ v i 'o s ə s
mirant-ne	m i ɾ 'a n n ə	m i ɾ 'a n n n ə
minuciosa	m i n u s i 'o z ə	m i n u s i 'o s ə
melangia	m ə l ə n ʒ 'i ə	m ə l ə ŋ g 'i ə
malestars	m ə l ə s t 'a s	m ə l ə s t 'a ɾ s
maleint-me	m ə l ə 'i m m ə	m ə l 'ə j n t m ə
lluitaven	ʎ u j t 'a v ə n	ʎ u i t 'a v ə n
lletja	ʎ 'e dʒ ə	ʎ 'ə dʒ ə
llestos	ʎ 'e s t o s	ʎ 'ə s t o s
llebre	ʎ 'e β ɾ ə	ʎ 'ə β ɾ ə
kosovars	k o z o v 'a s	k o z o v 'a ɾ s
jazz	ʒ 'a s	ʒ 'a z ə
irreals	i r e 'a l s	i r ə 'a l s
interpreto	i n t ə ɾ p ɾ 'e t o	i n t ə ɾ p ɾ 'ə t o
inspeccionant-la	i n s p ə t s i o n 'a n l ə	i n s p ə t s i o n 'a n i l ə
ingressos	i ŋ g ɾ 'e s o s	i ŋ g ɾ 'ə s o s
incrèdul	i ŋ k ɾ 'e ð u l	i ŋ k ɾ 'ə ð u l
idealitzen	i ð e ə l 'i d z ə n	i ð ə ə l 'i d z ə n
heroi	ə ɾ 'o j	ə ɾ 'o i
guèiser	g 'ə j z ə	g 'ə i z ə
guerxos	g 'e ɾ ʃ o s	g w 'e ɾ ʃ o s
guerres	g 'e r ə s	g w 'e r ə s
guerra	g 'e r ə	g w 'e r ə
ginebra	ʒ i n 'e β ɾ ə	ʒ i n 'ə β ɾ ə
gemma	ʒ 'e m m ə	ʒ 'ə m m ə
fent-los	f 'e n l o s	f ə n 'e l o s
fent-la	f 'e n l ə	f 'e n t  l ə
febre	f 'e β ɾ ə	f 'ə β ɾ ə
exsoci	ə t s 'o s i	ə s 'o s i
estrangers	ə s t ɾ ə n ʒ 'e s	ə s t ɾ ə ŋ g 'e s
espaguetis	ə s p ə ɣ 'e t i s	ə s p ə ɣ u 'e t i s
eso	'e s o	'ə z o
enganxant-ne	ə ŋ g ə n ʃ 'a n n ə	ə ŋ g ə n ʃ 'a n n n ə
ene	'e n ə	'ə n ə
ego	'e ɣ o	'ə ɣ o
efebus	ə f 'e β u s	ə f 'ə β u s
dècimes	d 'ə s i m ə s	d ə s i m ə s
dècim	d 'ə s i m	d ə s i m
dèbils	d 'ə β i l s	d 'e β i l s
dèbils	d 'ə β i l s	d 'e β i l s
dutxant-me	d u tʃ 'a m m ə	d u tʃ 'a n m m ə
dient-me	d i 'e m m ə	d i 'e n t m ə
dient-me	d i 'e m m ə	d i 'e n t m ə
dient-li	d i 'e n l i	d i ə n 'e l i
diamants	d i ə m 'a n s	d i ə m 'a n t s
designés	d ə z i n n 'e s	d ə z i ə n 'e s
daina	d 'a j n ə	d 'a i n ə
càmpings	k 'a m p i ŋ s	k 'a m p i n s
cuinats	k u j n 'a t s	k u i n 'a t s
crearien	k ɾ e ə ɾ 'i ə n	k ɾ ə ə ɾ 'i ə n
creadors	k ɾ e ə ð 'o s	k ɾ ə ə ð 'o s
creadora	k ɾ e ə ð 'o ɾ ə	k ɾ ə ə ð 'o ɾ ə
contempla	k o n t 'e m p l ə	k o n t 'ə m p l ə
conscienciós	k o n t s i ə n s i 'o s	k o n s i ə n s i 'o s
conscienciació	k o n t s i ə n s i ə s i 'o	k o n s i ə n s i ə s i 'o
clixés	k l i ʃ 'e s	k l ʃ 'e s
cereals	s ə ɾ e 'a l s	s ə ɾ ə 'a l s
caiguin	k 'a j ɣ i n	k 'a i ɣ i n
buidant	b u j ð 'a n t	b u i ð 'a n t
be	b 'e	b 'ə
banquers	b ə ŋ k 'e s	 b e ŋ k 'e s
atapeïts	ə t ə p ə 'i t s	ə t ə p ə 'i s
assecant-se	ə s ə k 'a n s ə	ə s ə k 'a n t s ə
ascens	ə t s 'ə n s	ə t s 'e n s
arruinada	ə r u j n 'a ð ə	ə r u i n 'a ð ə
arremangant-se	ə r ə m ə ŋ g 'a n s ə	ə r ə m ə ŋ g 'a n t s ə
apèndix	ə p 'ə n d i t s	ə p 'e n d i t s
amants	ə m 'a n s	ə m 'a n t s
actuïn	ə t t 'u i n	ə t t u 'i n
abertzale	ə β ə ɾ d z 'a l ə	ə β ə ɾ ə z 'a l ə
Ull	'u j	'u ʎ
Sens	s 'ə n s	s 'e n s
Ruth	r 'u t	r 'u t ə
Poder	p o ð 'ə	p o ð 'e
Parisien	p ə ɾ i z 'i ə n	p ə ɾ i s 'i ə n
Montevideo	m o n t ə v i ð 'e o	m o n t ə v i ð 'ə o
Mes	m 'e s	m 'ə s
Lègolas	l 'ə ɣ o l ə s	l ə ɣ o l 'a s
Le	l 'e	l 'ə
Hèlsinki	'e l s i ŋ k i	'e l s i n i
Huc	'u k	'a k
Hisenda	i z 'e n d ə	i s 'e n d ə
Grand	g ɾ 'a n t	g ɾ 'a n ə
Folch	f 'o l k	f 'o l k ə
Endreço	ə n d ɾ 'e s o	ə n d ɾ 'ə s o
Dreamweaver	d ɾ e ə m b e ə v 'e	d ɾ e ə m ə ə v 'e
Cibeles	s i β 'e l ə s	s i β 'ə l ə s
Ben	b 'e n	b 'ə n
Beirut	b ə j ɾ 'u t	b ə i ɾ 'u t
habitualment	ə β i t u ˌ a l m 'e n t	ə β i t u ə l m 'e n t
habituats	ə β i t u 'a t s	ə β i t u 'a s
haguda	ə ɣ 'u ð ə	a ɣ 'u ð ə
hagudes	ə ɣ 'u ð ə s	a ɣ 'u ð ə s
haguessen	ə ɣ 'e s ə n	ə ɣ 'ə s ə n
haguesses	ə ɣ 'e s ə s	ə ɣ 'ə s ə s
haguessis	ə ɣ 'e s i s	ə ɣ 'ə s i s
hagut	ə ɣ 'u t	a ɣ 'u t
haguts	ə ɣ 'u t s	a ɣ 'u t s
hagué	ə ɣ 'e	ə ɣ 'ə
haguéɾem	ə ɣ 'e ɾ ə m	ə ɣ ə ɾ 'ə m
haguéɾeu	ə ɣ 'e ɾ ə w	ə ɣ ə ɾ 'e w
haguéssem	ə ɣ 'e s ə m	ə ɣ ə s 'ə m
haguésseu	ə ɣ 'e s ə w	ə ɣ ə s 'e w
haguéssim	ə ɣ 'e s i m	ə ɣ ə s 'i m
haguéssiu	ə ɣ 'e s i w	ə ɣ ə s 'i w
haia	'a j ə	a 'i ə
haig	'a tʃ	a 'i ə
haitians	ə j t i 'a n s	ə i t i 'a n s
haití	ə j t 'i	ə i t 'i
halteɾofília	ə l t ə ɾ o f 'i l i ə	ə l t ə ɾ o f i l 'i ə
hannoveɾ	ə n n o v 'e	ə n n o v 'ə
haɾdwaɾe	'a ɾ u ə	ə ɾ u 'a ɾ ə
haɾmonioses	ə ɾ m o n i 'o z ə s	ə ɾ m o n i 'o s ə s
haɾmònic	ə ɾ m 'o n i k	ə ɾ m ə n 'i k
haɾmònica	ə ɾ m 'o n i k ə	ə ɾ m ə n 'i k ə
haɾmònicament	ə ɾ m ˌ o n i k ə m 'e n t	ə ɾ m ə n i k ə m 'e n t
haɾmònics	ə ɾ m 'o n i t s	ə ɾ m ə n 'i t s
haɾmòniques	ə ɾ m 'o n i k ə s	ə ɾ m ə n 'i k ə s
hauɾé	ə w ɾ 'e	ə w ɾ 'ə
hauɾíem	ə w ɾ 'i ə m	ə w ɾ i 'ə m
hauɾíeu	ə w ɾ 'i ə w	ə w ɾ i 'e w
hemofília	ə m o f 'i l i ə	ə m o f i l 'i ə
hemoràgia	ə m o r 'a ʒ i ə	ə m o ɾ ə ʒ 'i ə
hemoràgies	ə m o r 'a ʒ i ə s	ə m o ɾ ə ʒ 'i ə s
hepàtic	ə p 'a t i k	ə p ə t 'i k
heɾbívoɾ	ə ɾ β 'i v o ɾ	ə ɾ β i v 'o
heɾbívoɾs	ə ɾ β 'i v o ɾ s	ə ɾ β i v 'o s
